files=97 lines=4275

| feature | count | files | nests | example |
| QUALIFY | 2 | 1 | 1: qos-reo-nest-wt-peers | qos-reo-nest-wt-peers/views/20-qos-rows.sql:36 |
| WINDOW clause (named) | 3 | 3 | 2: qos-reo-nest-wt-peers, qos-reo-nest-wt-range | qos-reo-nest-wt-peers/views/30-qos-daily.sql:67 |
| OVER ( | 33 | 13 | 8: arcaidia-nest, graph-allocations-nest, graph-gns-nest, graph-tap-escrow-nest, nests-mvp/subgraph-availability-oracle, perpl-nest, qos-reo-nest, qos-reo-nest-wt-peers | arcaidia-nest/views/60-fee_snapshots.sql:13 |
| PARTITION BY | 27 | 14 | 9: arcaidia-nest, graph-allocations-nest, graph-gns-nest, graph-tap-escrow-nest, nests-mvp/subgraph-availability-oracle, perpl-nest, qos-reo-nest, qos-reo-nest-wt-peers, qos-reo-nest-wt-range | arcaidia-nest/views/60-fee_snapshots.sql:13 |
| ROWS BETWEEN | 2 | 1 | 1: arcaidia-nest | arcaidia-nest/views/60-fee_snapshots.sql:14 |
| RANGE BETWEEN | 0 | 0 | 0:  |  |
| ROWS/RANGE UNBOUNDED (short form) | 3 | 3 | 1: graph-allocations-nest | graph-allocations-nest/views/50-lodestar-epochs.sql:365 |
| UNBOUNDED PRECEDING | 5 | 4 | 2: arcaidia-nest, graph-allocations-nest | arcaidia-nest/views/60-fee_snapshots.sql:14 |
| UNBOUNDED FOLLOWING | 0 | 0 | 0:  |  |
| CURRENT ROW | 2 | 1 | 1: arcaidia-nest | arcaidia-nest/views/60-fee_snapshots.sql:14 |
| n PRECEDING/FOLLOWING | 0 | 0 | 0:  |  |
| EXCLUDE CURRENT ROW etc (frame) | 0 | 0 | 0:  |  |
| FILTER (WHERE | 62 | 13 | 7: arcaidia-nest, graph-allocations-nest, graph-staking-nest, nests-mvp/subgraph-availability-oracle, qos-reo-nest-typed, qos-reo-nest-wt-peers, qos-reo-nest-wt-range | arcaidia-nest/views/85-protocol_state.sql:17 |
| WITHIN GROUP | 0 | 0 | 0:  |  |
| CASE | 39 | 15 | 6: arcaidia-nest, graph-allocations-nest, qos-reo-nest, qos-reo-nest-typed, qos-reo-nest-wt-peers, qos-reo-nest-wt-range | arcaidia-nest/views/20-fills.sql:13 |
| EXISTS | 4 | 3 | 3: graph-allocations-nest, graph-tap-escrow-nest, qos-reo-nest | graph-allocations-nest/views/50-lodestar-epochs.sql:334 |
| NOT EXISTS | 4 | 3 | 3: graph-allocations-nest, graph-tap-escrow-nest, qos-reo-nest | graph-allocations-nest/views/50-lodestar-epochs.sql:334 |
| IN (subquery) | 8 | 4 | 1: graph-allocations-nest | graph-allocations-nest/checks/indexer-daily-sums.sql:11 |
| NOT IN (subquery) | 6 | 3 | 1: graph-allocations-nest | graph-allocations-nest/views/20-allocations.sql:15 |
| IN (list) | 5 | 3 | 2: graph-allocations-nest, qos-reo-nest-typed | graph-allocations-nest/views/90-lodestar-indexers.sql:93 |
| scalar subquery (SELECT in expr) | 39 | 5 | 1: graph-allocations-nest | graph-allocations-nest/checks/populations.sql:2 |
| ANY/ALL (quantified) | 0 | 0 | 0:  |  |
| column IN table (DuckDB) | 0 | 0 | 0:  |  |
| IS DISTINCT FROM | 12 | 4 | 2: graph-allocations-nest, qos-reo-nest-typed | graph-allocations-nest/checks/indexer-daily-sums.sql:25 |
| IS NULL / IS NOT NULL | 47 | 15 | 6: arcaidia-nest, graph-allocations-nest, graph-gns-nest, qos-reo-nest-typed, qos-reo-nest-wt-peers, qos-reo-nest-wt-range | arcaidia-nest/views/20-fills.sql:13 |
| BETWEEN | 4 | 2 | 2: nuthatch/obib-case2, qos-reo-nest-wt-peers | nuthatch/obib-case2/views/case2-accounts.sql:32 |
| LIKE | 4 | 1 | 1: graph-allocations-nest | graph-allocations-nest/views/90-lodestar-indexers.sql:500 |
| ILIKE | 0 | 0 | 0:  |  |
| SIMILAR TO | 0 | 0 | 0:  |  |
| VALUES ( | 9 | 9 | 4: graph-allocations-nest, qos-reo-nest, qos-reo-nest-typed, qos-reo-nest-wt-peers | graph-allocations-nest/views/50-lodestar-epochs.sql:52 |
| SAMPLE/TABLESAMPLE | 0 | 0 | 0:  |  |
| SUMMARIZE/DESCRIBE/PRAGMA/SET/EXPLAIN | 0 | 0 | 0:  |  |
| PIVOT/UNPIVOT | 0 | 0 | 0:  |  |
| TRUE/FALSE literal | 27 | 9 | 6: arcaidia-nest, graph-allocations-nest, nests-mvp/subgraph-availability-oracle, qos-reo-nest, qos-reo-nest-typed, qos-reo-nest-wt-peers | arcaidia-nest/views/40-vault_flows.sql:28 |
| NULL literal | 34 | 11 | 6: arcaidia-nest, dips-nest, graph-allocations-nest, graph-tap-escrow-nest, perpl-nest, qos-reo-nest-typed | arcaidia-nest/views/30-settlements.sql:21 |
| INTERVAL literal | 0 | 0 | 0:  |  |
| DATE literal | 10 | 6 | 3: qos-reo-nest, qos-reo-nest-typed, qos-reo-nest-wt-peers | qos-reo-nest-typed/checks/day-resolution.sql:17 |
| TIMESTAMP literal | 0 | 0 | 0:  |  |
| dollar-quoted string | 0 | 0 | 0:  |  |
| $n / ? params | 0 | 0 | 0:  |  |
| double-quoted identifier | 543 | 34 | 11: arcaidia-nest, dips-nest, graph-allocations-nest, graph-gns-nest, graph-staking-nest, graph-tap-escrow-nest, hackathon-nest, nuthatch/obib-case2, perpl-nest, qos-reo-nest, qos-reo-nest-typed | arcaidia-nest/views/10-vault_policy.sql:19 |
